epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0584,2.9305,13.1833,1.18988,0.38675,0.18733,0.13318,0.03605,2.9008,3.27394,1.16402,0.000664216,0.000664216,0.000664216
2,139.184,2.80676,4.21215,1.14117,0.38371,0.16172,0.1591,0.05568,2.74967,2.53984,1.12005,0.00131771,0.00131771,0.00131771
3,204.693,2.80151,2.77319,1.12545,0.40332,0.24092,0.19948,0.06773,2.79267,1.91745,1.13126,0.001958,0.001958,0.001958
4,268.861,2.7272,2.46247,1.10973,0.32091,0.24092,0.18543,0.06303,2.62441,1.96485,1.08097,0.0019406,0.0019406,0.0019406
5,337.082,2.63297,2.23612,1.09557,0.45027,0.27303,0.22258,0.07277,2.59105,1.83104,1.07072,0.0019208,0.0019208,0.0019208
6,400.439,2.62236,2.16982,1.08607,0.37823,0.28308,0.21381,0.07067,2.54236,1.8692,1.07808,0.001901,0.001901,0.001901
7,463.685,2.57689,2.06285,1.082,0.54422,0.26733,0.28101,0.0927,2.39696,1.82373,1.05408,0.0018812,0.0018812,0.0018812
8,526.623,2.58115,2.03359,1.07622,0.42451,0.31353,0.25495,0.08153,2.59275,1.76017,1.07127,0.0018614,0.0018614,0.0018614
9,594.606,2.5778,2.00943,1.07875,0.3522,0.26733,0.20822,0.07115,2.61994,1.91813,1.0578,0.0018416,0.0018416,0.0018416
10,658.564,2.51298,1.92264,1.0658,0.67504,0.29703,0.33384,0.11494,2.29482,1.60466,1.01442,0.0018218,0.0018218,0.0018218
11,723.326,2.51983,1.8568,1.04568,0.39282,0.32673,0.292,0.10438,2.38671,1.66173,1.04389,0.001802,0.001802,0.001802
12,786.486,2.46969,1.82459,1.0572,0.5176,0.38944,0.36144,0.10489,2.45158,1.56723,1.03669,0.0017822,0.0017822,0.0017822
13,855.991,2.47709,1.86076,1.06333,0.54831,0.29703,0.32327,0.11155,2.47585,1.54313,1.04586,0.0017624,0.0017624,0.0017624
14,917.949,2.48649,1.83043,1.05559,0.37666,0.35314,0.28742,0.08874,2.67063,1.6544,1.07705,0.0017426,0.0017426,0.0017426
15,981.104,2.47717,1.83061,1.03377,0.43271,0.29373,0.28949,0.08946,2.45055,1.70625,1.02991,0.0017228,0.0017228,0.0017228
16,1043.54,2.43541,1.75998,1.04159,0.68386,0.32841,0.39953,0.12413,2.40122,1.5446,1.03373,0.001703,0.001703,0.001703
17,1105.2,2.41765,1.68885,1.04394,0.6695,0.31683,0.34647,0.11395,2.38885,1.54482,1.05602,0.0016832,0.0016832,0.0016832
18,1165.55,2.41107,1.68098,1.02845,0.49217,0.33993,0.32848,0.11019,2.3609,1.50552,1.03958,0.0016634,0.0016634,0.0016634
19,1225.96,2.38396,1.65796,1.03062,0.56969,0.34653,0.37982,0.13293,2.26811,1.42123,1.02312,0.0016436,0.0016436,0.0016436
20,1294.68,2.37657,1.6437,1.02377,0.65936,0.36634,0.41186,0.13546,2.3138,1.36019,1.01628,0.0016238,0.0016238,0.0016238
21,1355.32,2.38924,1.62643,1.01581,0.49628,0.36964,0.36645,0.13038,2.31831,1.47466,1.04145,0.001604,0.001604,0.001604
22,1415.4,2.35642,1.58066,1.03513,0.69281,0.33003,0.39267,0.13189,2.30871,1.49889,1.02973,0.0015842,0.0015842,0.0015842
23,1475.28,2.33729,1.58457,1.01168,0.65796,0.32343,0.37852,0.12622,2.30319,1.4464,1.02649,0.0015644,0.0015644,0.0015644
24,1539.69,2.34748,1.54386,1.02392,0.47183,0.39934,0.38579,0.13081,2.36491,1.49651,1.04466,0.0015446,0.0015446,0.0015446
25,1602.2,2.33392,1.56536,1.02015,0.50238,0.36964,0.35205,0.11177,2.35729,1.45359,1.07396,0.0015248,0.0015248,0.0015248
26,1667.74,2.36088,1.54852,1.02207,0.46753,0.34983,0.33262,0.11118,2.43128,1.6365,1.05761,0.001505,0.001505,0.001505
27,1729.56,2.30881,1.54037,1.01053,0.62694,0.38614,0.42559,0.1306,2.38249,1.365,1.05236,0.0014852,0.0014852,0.0014852
28,1792.21,2.35224,1.51179,1.01865,0.52924,0.40924,0.42632,0.14206,2.2695,1.30608,1.02674,0.0014654,0.0014654,0.0014654
29,1854.81,2.33325,1.47296,1.01697,0.65173,0.35644,0.3896,0.12344,2.38243,1.32078,1.04795,0.0014456,0.0014456,0.0014456
30,1917.02,2.32744,1.4562,1.01244,0.58231,0.43234,0.44168,0.15152,2.33123,1.29791,1.04075,0.0014258,0.0014258,0.0014258
31,1979.2,2.29325,1.45591,1.01238,0.63739,0.39934,0.4269,0.14442,2.30218,1.31282,1.04874,0.001406,0.001406,0.001406
32,2041.72,2.28451,1.47269,0.99519,0.59897,0.41254,0.4283,0.13944,2.29828,1.3925,1.04377,0.0013862,0.0013862,0.0013862
33,2102.7,2.27994,1.43353,1.00439,0.49502,0.35644,0.37527,0.12677,2.32826,1.35207,1.0349,0.0013664,0.0013664,0.0013664
34,2164.97,2.27933,1.41452,1.00752,0.63937,0.35974,0.41211,0.14446,2.35668,1.34499,1.0457,0.0013466,0.0013466,0.0013466
35,2227.2,2.2414,1.44056,0.98757,0.66465,0.43172,0.45373,0.15585,2.26487,1.27937,1.03183,0.0013268,0.0013268,0.0013268
36,2288.6,2.22844,1.38887,0.99285,0.56093,0.38614,0.39906,0.13261,2.4631,1.31663,1.07464,0.001307,0.001307,0.001307
