epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;1188.26;2.5712;14.7096;1.33486;0.37675;0.33003;0.26922;0.08902;2.3991;3.65065;1.31379;0.000665747;0.000665747;0.000665747
2;1546.06;2.54363;3.79867;1.32464;0.40486;0.33003;0.3248;0.11149;2.32102;2.04339;1.30894;0.00131922;0.00131922;0.00131922
3;1792.67;2.51681;2.58987;1.32248;0.39915;0.36964;0.31619;0.09987;2.31284;1.8901;1.29602;0.0019595;0.0019595;0.0019595
4;2881.12;2.4536;2.2476;1.31171;0.45745;0.47525;0.41236;0.14041;2.28308;1.70498;1.28102;0.0019406;0.0019406;0.0019406
5;4907.14;2.374;2.10512;1.27665;0.47649;0.47525;0.42475;0.14112;2.1649;1.60985;1.28174;0.0019208;0.0019208;0.0019208
6;5955.75;2.38007;1.96941;1.28192;0.55054;0.48185;0.50048;0.16419;2.27575;1.46441;1.30753;0.001901;0.001901;0.001901
7;6545.13;2.32941;1.89195;1.26855;0.48479;0.44554;0.44193;0.14912;2.36098;1.54373;1.33352;0.0018812;0.0018812;0.0018812
8;7354.39;2.31466;1.86678;1.2575;0.53854;0.39604;0.4168;0.14116;2.31716;1.57291;1.30466;0.0018614;0.0018614;0.0018614
9;7887.3;2.27715;1.79871;1.26604;0.53968;0.49505;0.46606;0.16325;2.13749;1.55847;1.27885;0.0018416;0.0018416;0.0018416
10;8656.53;2.30757;1.81712;1.24208;0.62388;0.51155;0.53467;0.19652;2.12505;1.44419;1.2643;0.0018218;0.0018218;0.0018218
11;8869.74;2.26656;1.71846;1.22156;0.58213;0.50114;0.51008;0.18078;2.17805;1.45084;1.2603;0.001802;0.001802;0.001802
12;9312.66;2.26268;1.70222;1.23489;0.57576;0.49835;0.53266;0.19992;2.17426;1.45651;1.26122;0.0017822;0.0017822;0.0017822
13;9880.8;2.28115;1.68536;1.23045;0.60796;0.50668;0.56102;0.21228;2.20812;1.44233;1.26773;0.0017624;0.0017624;0.0017624
14;10403.9;2.23891;1.65679;1.22248;0.58248;0.50495;0.53689;0.19778;2.2201;1.46897;1.26943;0.0017426;0.0017426;0.0017426
15;10616.6;2.26177;1.64618;1.23092;0.61475;0.50825;0.5633;0.19325;2.17985;1.43772;1.25475;0.0017228;0.0017228;0.0017228
16;10831.3;2.23441;1.60031;1.22972;0.60696;0.53135;0.5369;0.19411;2.18312;1.40358;1.25251;0.001703;0.001703;0.001703
17;11046.5;2.21796;1.60663;1.21781;0.61567;0.52805;0.56255;0.19795;2.19421;1.41977;1.26008;0.0016832;0.0016832;0.0016832
18;11261.9;2.22196;1.58261;1.21728;0.59983;0.57096;0.54688;0.18406;2.26917;1.43194;1.28887;0.0016634;0.0016634;0.0016634
19;11514.1;2.2076;1.55673;1.20823;0.6549;0.51815;0.58309;0.20529;2.24228;1.40657;1.29022;0.0016436;0.0016436;0.0016436
20;12022.4;2.20118;1.54124;1.21196;0.61767;0.55984;0.58004;0.22713;2.20922;1.36822;1.27034;0.0016238;0.0016238;0.0016238
21;12579.8;2.15409;1.4917;1.19064;0.63585;0.57096;0.58224;0.20959;2.23772;1.42733;1.27824;0.001604;0.001604;0.001604
22;13115.7;2.17957;1.49437;1.20485;0.69314;0.56766;0.61051;0.2166;2.22998;1.3456;1.26856;0.0015842;0.0015842;0.0015842
23;13630.8;2.18362;1.5192;1.19727;0.61225;0.56802;0.5712;0.19868;2.31115;1.44326;1.28721;0.0015644;0.0015644;0.0015644
24;14151;2.18083;1.49779;1.1911;0.67418;0.56106;0.59195;0.21146;2.1945;1.34894;1.26491;0.0015446;0.0015446;0.0015446
25;14442.1;2.14317;1.46283;1.18706;0.683;0.58086;0.64064;0.22752;2.24881;1.32974;1.26893;0.0015248;0.0015248;0.0015248
26;14737.7;2.15835;1.42545;1.18493;0.64885;0.54886;0.58712;0.20363;2.21787;1.35942;1.24426;0.001505;0.001505;0.001505
27;15213.4;2.13171;1.42408;1.16208;0.66909;0.58746;0.63006;0.23186;2.19892;1.30899;1.25015;0.0014852;0.0014852;0.0014852
28;15740.9;2.14069;1.44558;1.17872;0.70154;0.56106;0.63197;0.24014;2.17866;1.29001;1.271;0.0014654;0.0014654;0.0014654
29;16326.6;2.11843;1.37027;1.18274;0.67208;0.56819;0.62255;0.23135;2.21788;1.38655;1.27153;0.0014456;0.0014456;0.0014456
30;17136.1;2.10652;1.3825;1.15852;0.69123;0.56436;0.62585;0.23151;2.18682;1.30357;1.26355;0.0014258;0.0014258;0.0014258
31;17741.3;2.12578;1.36491;1.17774;0.69494;0.56388;0.62206;0.23409;2.26222;1.28828;1.28793;0.001406;0.001406;0.001406
32;18866.2;2.11318;1.32465;1.18431;0.70853;0.59736;0.66499;0.23783;2.20174;1.25851;1.27465;0.0013862;0.0013862;0.0013862
33;19519.9;2.10462;1.36699;1.18191;0.66815;0.57148;0.61951;0.22913;2.18473;1.30172;1.27191;0.0013664;0.0013664;0.0013664
34;20448.4;2.0928;1.3265;1.1623;0.6648;0.63696;0.66267;0.25143;2.19793;1.22077;1.29557;0.0013466;0.0013466;0.0013466
35;20666.6;2.10672;1.32472;1.16247;0.75884;0.58155;0.67557;0.25197;2.17612;1.3054;1.26884;0.0013268;0.0013268;0.0013268
36;20883.6;2.08519;1.30479;1.16456;0.66539;0.61691;0.65011;0.23863;2.26515;1.21831;1.28508;0.001307;0.001307;0.001307
37;21102;2.05886;1.27217;1.15905;0.74465;0.57096;0.62676;0.22901;2.20395;1.27925;1.25897;0.0012872;0.0012872;0.0012872
38;21320.3;2.06106;1.30572;1.14316;0.72547;0.61922;0.65168;0.2359;2.21912;1.26301;1.27389;0.0012674;0.0012674;0.0012674
39;21538.9;2.06048;1.27121;1.14849;0.67838;0.57756;0.60309;0.23145;2.25876;1.24565;1.2907;0.0012476;0.0012476;0.0012476
40;21757.1;2.04736;1.27463;1.15613;0.74664;0.56766;0.62889;0.23594;2.22592;1.25675;1.28284;0.0012278;0.0012278;0.0012278
41;21976.1;2.03406;1.26433;1.15154;0.7433;0.58416;0.65366;0.24027;2.22182;1.21294;1.30062;0.001208;0.001208;0.001208
42;22194.9;2.0258;1.2389;1.15164;0.70387;0.54785;0.61689;0.23183;2.27613;1.24203;1.29877;0.0011882;0.0011882;0.0011882
43;22416.4;2.01289;1.23257;1.14702;0.72728;0.61056;0.65772;0.25196;2.2368;1.20718;1.27405;0.0011684;0.0011684;0.0011684
44;22635.7;2.0035;1.19638;1.12602;0.70429;0.5974;0.63894;0.23987;2.21189;1.20379;1.28664;0.0011486;0.0011486;0.0011486
45;22854.6;2.00653;1.20524;1.13726;0.69823;0.60066;0.64414;0.24512;2.17765;1.18814;1.28071;0.0011288;0.0011288;0.0011288
