epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.15,2.36457,28.7708,1.4415,0.33166,0.45428,0.30546,0.08617,2.48706,1.95048,1.6862,0.000664399,0.000664399,0.000664399
2,329.848,2.18828,2.19877,1.36886,0.45425,0.45785,0.39249,0.11012,2.32776,1.91938,1.59452,0.00131719,0.00131719,0.00131719
3,489.076,2.17976,2.02207,1.36449,0.438,0.46444,0.36185,0.11305,2.36194,2.35901,1.57006,0.0019561,0.0019561,0.0019561
4,647.938,2.1551,1.8808,1.35253,0.43462,0.51669,0.40311,0.12594,2.28381,1.77222,1.53594,0.00193747,0.00193747,0.00193747
5,807.227,2.11086,1.85398,1.34443,0.40706,0.50617,0.43421,0.1349,2.30586,1.70037,1.54905,0.00191663,0.00191663,0.00191663
6,966.128,2.03527,1.78054,1.30936,0.45672,0.49927,0.45173,0.14912,2.25194,1.78812,1.53748,0.00189579,0.00189579,0.00189579
7,1125.2,2.05588,1.73014,1.30947,0.43571,0.50798,0.43706,0.13661,2.28735,1.68831,1.5391,0.00187495,0.00187495,0.00187495
8,1284.1,2.03194,1.7223,1.29842,0.44958,0.50363,0.42122,0.13537,2.28337,1.73769,1.52155,0.00185411,0.00185411,0.00185411
9,1443.18,2.01945,1.71231,1.29446,0.50194,0.51524,0.50088,0.1791,2.28298,1.58434,1.54395,0.00183326,0.00183326,0.00183326
10,1602.34,2.01746,1.67321,1.30746,0.43515,0.43977,0.39951,0.12223,2.326,1.83962,1.5244,0.00181242,0.00181242,0.00181242
11,1761.27,1.98771,1.63461,1.29572,0.49309,0.60232,0.51663,0.18015,2.27831,1.56176,1.54164,0.00179158,0.00179158,0.00179158
12,1920.3,1.98981,1.61899,1.2825,0.45977,0.56894,0.50073,0.16437,2.22093,1.57408,1.50129,0.00177074,0.00177074,0.00177074
13,2079.2,1.96778,1.59844,1.28574,0.46791,0.62119,0.51708,0.1723,2.25205,1.50218,1.49926,0.00174989,0.00174989,0.00174989
14,2238.39,1.99465,1.59645,1.2945,0.4626,0.61538,0.52057,0.18127,2.25302,1.58757,1.53395,0.00172905,0.00172905,0.00172905
15,2397.84,1.97114,1.55928,1.29463,0.54857,0.64296,0.5415,0.16642,2.25552,1.49434,1.51536,0.00170821,0.00170821,0.00170821
16,2557.2,1.97197,1.56648,1.27426,0.52982,0.58055,0.52518,0.16087,2.32834,1.49784,1.55379,0.00168737,0.00168737,0.00168737
17,2716.13,1.96149,1.56934,1.27883,0.52437,0.63716,0.56106,0.18252,2.2664,1.50809,1.53416,0.00166653,0.00166653,0.00166653
18,2875.36,1.95517,1.55363,1.26102,0.49564,0.66763,0.55346,0.17627,2.28591,1.49586,1.53489,0.00164568,0.00164568,0.00164568
19,3034.42,1.94636,1.50799,1.27256,0.47236,0.67199,0.51993,0.16362,2.30701,1.51757,1.54638,0.00162484,0.00162484,0.00162484
20,3193.65,1.96556,1.52815,1.27346,0.56011,0.65167,0.59101,0.19694,2.23065,1.45848,1.50811,0.001604,0.001604,0.001604
21,3352.62,1.9346,1.50902,1.28131,0.50905,0.65167,0.57065,0.19758,2.23908,1.50079,1.51826,0.00158316,0.00158316,0.00158316
22,3511.7,1.93546,1.4929,1.26871,0.55285,0.59652,0.56581,0.20489,2.21981,1.43851,1.49164,0.00156232,0.00156232,0.00156232
23,3670.85,1.93269,1.47737,1.25694,0.56036,0.65301,0.58457,0.2004,2.21535,1.43338,1.49839,0.00154147,0.00154147,0.00154147
24,3829.98,1.91475,1.4723,1.25433,0.52412,0.68505,0.54981,0.18245,2.20394,1.49883,1.49219,0.00152063,0.00152063,0.00152063
25,3989.08,1.91256,1.478,1.26076,0.51901,0.59797,0.55822,0.20056,2.30005,1.45428,1.57264,0.00149979,0.00149979,0.00149979
26,4148.27,1.91955,1.46369,1.2613,0.58886,0.62845,0.5853,0.21397,2.20817,1.48956,1.49506,0.00147895,0.00147895,0.00147895
27,4307.4,1.915,1.45706,1.26149,0.56462,0.66473,0.58595,0.19585,2.22413,1.44357,1.50444,0.00145811,0.00145811,0.00145811
28,4466.34,1.9101,1.44508,1.26138,0.56442,0.65602,0.59264,0.21028,2.20593,1.41977,1.48946,0.00143726,0.00143726,0.00143726
29,4625.34,1.91446,1.43557,1.25587,0.52784,0.61103,0.56979,0.20504,2.20582,1.45327,1.49877,0.00141642,0.00141642,0.00141642
30,4784.67,1.93618,1.46189,1.26993,0.54021,0.65747,0.58828,0.21572,2.21151,1.43696,1.50095,0.00139558,0.00139558,0.00139558
31,4943.85,1.89791,1.44185,1.26077,0.56294,0.67299,0.60642,0.21752,2.19834,1.43303,1.48993,0.00137474,0.00137474,0.00137474
32,5103.21,1.88192,1.38344,1.25074,0.5277,0.69376,0.55839,0.18375,2.23817,1.44481,1.51355,0.00135389,0.00135389,0.00135389
33,5262.19,1.8857,1.40819,1.23355,0.57483,0.61974,0.60142,0.20253,2.23461,1.44041,1.50469,0.00133305,0.00133305,0.00133305
34,5421.46,1.89089,1.39211,1.24533,0.5412,0.66328,0.584,0.20937,2.24442,1.43348,1.52053,0.00131221,0.00131221,0.00131221
35,5580.56,1.90358,1.39244,1.25479,0.60566,0.69549,0.62872,0.21908,2.22074,1.3773,1.5011,0.00129137,0.00129137,0.00129137
36,5739.82,1.89215,1.41845,1.26324,0.60043,0.69811,0.6215,0.19901,2.23512,1.41874,1.50573,0.00127053,0.00127053,0.00127053
37,5898.99,1.87592,1.36261,1.23928,0.53389,0.62674,0.53234,0.17316,2.27804,1.44377,1.53655,0.00124968,0.00124968,0.00124968
38,6057.93,1.88141,1.37042,1.24032,0.575,0.6894,0.6206,0.2121,2.2133,1.39364,1.5022,0.00122884,0.00122884,0.00122884
39,6216.94,1.86164,1.34547,1.24126,0.62137,0.66618,0.62973,0.21911,2.21424,1.38583,1.48902,0.001208,0.001208,0.001208
40,6376.26,1.8891,1.36865,1.24326,0.56453,0.69231,0.6013,0.19487,2.22951,1.40982,1.48534,0.00118716,0.00118716,0.00118716
41,6535.36,1.87635,1.36357,1.23732,0.60336,0.7065,0.62885,0.21176,2.21594,1.36736,1.48792,0.00116632,0.00116632,0.00116632
42,6694.76,1.88825,1.3397,1.25461,0.59975,0.67489,0.62687,0.22518,2.1978,1.34949,1.48797,0.00114547,0.00114547,0.00114547
43,6853.96,1.86829,1.32669,1.24567,0.54502,0.66588,0.57886,0.20718,2.23157,1.39251,1.49638,0.00112463,0.00112463,0.00112463
44,7013.16,1.86868,1.33425,1.24348,0.59144,0.67444,0.602,0.20223,2.21602,1.38062,1.50285,0.00110379,0.00110379,0.00110379
45,7172.29,1.86163,1.3275,1.23523,0.61703,0.69666,0.64422,0.23425,2.17658,1.34672,1.47934,0.00108295,0.00108295,0.00108295
46,7331.72,1.87084,1.32375,1.25254,0.56023,0.65167,0.59899,0.22527,2.18894,1.37261,1.48562,0.00106211,0.00106211,0.00106211
47,7490.72,1.86619,1.31522,1.24968,0.62251,0.66777,0.636,0.22037,2.22185,1.32548,1.50655,0.00104126,0.00104126,0.00104126
48,7649.91,1.84418,1.30333,1.24741,0.5296,0.65524,0.57245,0.20341,2.23248,1.41214,1.51184,0.00102042,0.00102042,0.00102042
49,7809,1.83884,1.30936,1.24517,0.5601,0.71698,0.60112,0.21755,2.20822,1.36487,1.49135,0.000999579,0.000999579,0.000999579
